sample,label
5_17_20023,1
5_17_20034,1
5_17_20076,2
5_17_20096,3
5_17_20098,2
5_17_20114,2
5_17_20118,4
5_17_20122,2
5_17_20126,2
5_17_20133,2
5_17_20141,5
5_17_20146,2
5_17_20153,2
5_17_30019,2
5_17_30030,2
5_17_30035,4
5_17_30037,2
5_17_30060,2
5_17_30066,2
5_17_30068,2
5_17_30069,2
5_17_30088,2
5_17_30186,6
5_17_30305,3
5_17_30323,3
5_17_30385,4
5_17_30433,3
5_17_30437,2
5_17_30442,5
5_17_30449,3
5_17_30451,3
5_17_30453,3
5_17_30456,2
5_17_30457,3
5_17_30459,3
5_17_30460,1
5_17_30463,3
5_17_30465,3
5_17_30467,3
5_17_30469,2
5_17_30470,3
5_17_30471,3
5_17_30474,3
5_17_30475,5
5_17_30476,2
5_17_30479,5
5_17_30480,2
5_17_30483,2
5_17_30486,2
5_17_30491,5
5_17_30492,2
5_17_30496,5
5_17_30501,2
5_17_30506,2
5_17_30508,5
5_17_30511,5
5_17_30512,5
5_17_30524,5
5_17_30525,3
5_17_30531,5
5_17_30533,5
5_17_30534,5
5_17_30536,5
5_17_30539,5
5_17_30540,5
5_17_30545,5
5_17_30547,5
5_17_30552,5
5_17_30554,2
5_17_30555,5
5_17_30557,5
5_17_30562,5
5_17_30564,5
5_17_30566,5
5_17_30568,3
5_17_30569,5
5_17_30570,4
5_17_30573,5
5_17_30576,5
5_17_30577,5
5_17_30583,5
5_17_30585,5
5_17_30586,5
5_17_30587,5
5_17_30589,5
5_17_30591,5
5_17_30593,7
5_17_30597,5
5_17_30606,5
5_17_30607,5
5_17_30610,5
5_17_30614,5
5_17_30617,5
5_17_30620,5
5_17_30622,5
5_17_30626,5
5_17_30627,5
5_17_30628,5
5_17_30630,5
5_17_30631,3
5_17_30635,5
5_17_30640,5
5_17_30643,5
5_17_30649,5
5_17_30650,5
5_17_30654,5
5_17_30663,5
5_17_30664,5
5_17_30671,3
5_17_30673,5
5_17_30674,5
5_17_30675,5
5_17_30677,5
5_17_30679,5
5_17_30680,5
5_17_30684,5
5_17_30685,5
5_17_30686,5
5_17_30687,5
5_17_30692,5
5_17_30693,5
5_17_30695,5
5_17_30696,5
5_17_30697,5
5_17_30698,5
5_17_30699,5
5_17_30702,5
5_17_30703,3
5_17_30709,5
